state,household,population,male ,female
Province No. 1,484031,2147061,1010259,1136802
Province No. 2,571005,3240347,1611048,1629299
Province No. 3,526552,2258109,1102003,1156106
Province No. 4,255622,1042011,462022,579989
Province No. 5,350619,1749672,829039,920633
Province No. 6,155748,774316,373610,400706
Province No. 7,255278,1355814,641811,714003
