state,household,population,male ,female
Province No. 1,393434,1859946,885480,974466
Province No. 2,250848,1507790,761154,746636
Province No. 3,314739,1481957,703861,778096
Province No. 4,216430,932348,414476,517872
Province No. 5,405487,2140128,1003390,1136738
Province No. 6,142426,780926,380331,400595
Province No. 7,185282,1027433,483053,544380
