state,household,population,male ,female
Province No. 1,47798,214663,108827,105836
Province No. 2,39286,240922,127227,113695
Province No. 3,393583,1540877,791766,749111
Province No. 4,105630,402995,192977,210018
Province No. 5,0,0,0,0
Province No. 6,0,0,0,0
Province No. 7,0,0,0,0
