state,household,population,male ,female
Province No. 1,66487,278222,131237,146985
Province No. 2,70948,402290,206649,195641
Province No. 3,34270,152875,74964,77911
Province No. 4,0,0,0,0
Province No. 5,128651,575385,278169,297216
Province No. 6,0,0,0,0
Province No. 7,29143,147741,73462,74279
