state,household,population,male ,female
Province No. 1,695,35051,30733,4318
Province No. 2,221,12796,11860,936
Province No. 3,1653,95634,75039,20595
Province No. 4,537,26403,21333,5070
Province No. 5,446,34087,29718,4369
Province No. 6,185,15176,13982,1194
Province No. 7,268,21529,19561,1968
